simulation time [sec],battery current [A],battery soc [%],Socket,Crimp,Coolant,Overmold
0,0,0.6,0,0,0,0
1,4.7782,0.6,0,0,0,0
2,12.836,0.6,2.39E-05,1.73E-05,0,0
3,40.763,0.60004,0.00019657,0.000141972,0,1.93E-05
4,67.613,0.60011,0.001937768,0.001399531,5.48E-08,0.000150141
5,93.851,0.60021,0.006721411,0.004855644,5.04E-07,0.001496927
6,119.89,0.60034,0.015923567,0.011506595,4.94E-06,0.004780807
7,145.53,0.60051,0.030916236,0.022346888,2.03E-05,0.010807798
8,171.24,0.60071,0.052971056,0.038299697,5.67E-05,0.020346932
9,196.76,0.60094,0.083457292,0.060359755,0.000127257,0.034103963
10,222.07,0.6012,0.123641513,0.089448771,0.000248051,0.052891846
11,247.18,0.6015,0.174744301,0.126456289,0.00043817,0.077397399
12,272.06,0.60183,0.237952036,0.172248157,0.000719532,0.108325503
13,262.74,0.60217,0.31439661,0.227651846,0.001116756,0.14634762
14,261.26,0.6025,0.385242797,0.279076634,0.001657066,0.192107098
15,254.27,0.60282,0.454930677,0.329723921,0.002370162,0.230184011
16,251.77,0.60314,0.520500795,0.377455359,0.003242509,0.270674916
17,243.75,0.60345,0.584425006,0.424052283,0.004270696,0.306930465
18,238.61,0.60376,0.643871065,0.467467815,0.005444581,0.34374312
19,235.59,0.60406,0.700427976,0.50884546,0.006759706,0.376805021
20,232.08,0.60435,0.755207821,0.548985675,0.008205168,0.40920964
21,229.44,0.60464,0.807999669,0.587734467,0.009773733,0.440541003
22,228.3,0.60493,0.859256823,0.625417339,0.011460756,0.470800253
23,228.01,0.60522,0.909717111,0.662565652,0.013261134,0.500349023
24,227.82,0.60551,0.959792787,0.699476289,0.015170825,0.529625722
25,227.56,0.60579,1.009533663,0.736184746,0.017187496,0.558774892
26,227.38,0.60608,1.05890804,0.772667702,0.019309771,0.587774242
27,227.43,0.60637,1.107955981,0.808953634,0.021536399,0.616606799
28,227.71,0.60666,1.156788778,0.84512249,0.02386606,0.64531121
29,228.06,0.60694,1.205517253,0.881253977,0.026297533,0.673959968
30,228.37,0.60723,1.254175548,0.917372522,0.028829856,0.702610977
31,227.47,0.60752,1.302745107,0.953464524,0.031462327,0.731266714
32,228.16,0.60781,1.35064787,0.989112329,0.034194326,0.759910759
33,228.13,0.60809,1.398646848,1.024866236,0.037025192,0.788084224
34,228.1,0.60838,1.446397598,1.060477455,0.039952945,0.816594582
35,228.01,0.60867,1.493901333,1.095946516,0.042977359,0.844822734
36,227.84,0.60896,1.541130565,1.131253226,0.046097421,0.873030616
37,227.59,0.60924,1.588048422,1.166370593,0.049312127,0.901085004
38,227.3,0.60953,1.634618295,1.201271786,0.052620414,0.929011776
39,226.85,0.60982,1.680822945,1.235943929,0.056021136,0.956769886
40,226.43,0.6101,1.726588189,1.270333018,0.059513074,0.984362059
41,225.97,0.61039,1.771930837,1.30445069,0.06309497,1.011726665
42,225.46,0.61067,1.816834362,1.338284529,0.066765406,1.038902455
43,224.93,0.61096,1.861277706,1.371818835,0.070523004,1.065858905
44,224.39,0.61124,1.905254224,1.405048296,0.074366358,1.092591084
45,223.87,0.61152,1.948762074,1.437971068,0.078294021,1.119094853
46,223.36,0.6118,1.991813538,1.470595509,0.082304533,1.145369582
47,222.91,0.61208,2.034416091,1.502926512,0.08639644,1.171424529
48,222.47,0.61237,2.076600509,1.53498581,0.090568322,1.197260909
49,222.05,0.61265,2.118373917,1.566778081,0.094818783,1.222902112
50,221.62,0.61293,2.159748037,1.598311334,0.099146503,1.248343152
51,221.22,0.6132,2.200720536,1.629583437,0.103550184,1.273594755
52,220.84,0.61348,2.241307676,1.660605685,0.108028562,1.298649719
53,220.51,0.61376,2.281520929,1.691385935,0.112580374,1.323523395
54,220.22,0.61404,2.321385539,1.721941994,0.117204399,1.348217768
55,219.94,0.61432,2.360921902,1.752288194,0.121899447,1.372751572
56,219.68,0.61459,2.400136405,1.78242877,0.126664394,1.397132596
57,219.43,0.61487,2.439039994,1.812371254,0.131498165,1.421362003
58,219.22,0.61515,2.477638927,1.842119805,0.136399707,1.445447454
59,219.04,0.61542,2.515953205,1.871688513,0.141367996,1.469390107
60,218.88,0.6157,2.553998086,1.901088059,0.146402026,1.493204946
61,218.66,0.61598,2.591784129,1.930325748,0.151500843,1.516897317
62,218.45,0.61625,2.629285136,1.959382348,0.156663532,1.540472879
63,218.26,0.61653,2.666507177,1.98826191,0.161889207,1.563907587
64,218.08,0.6168,2.703460856,2.016971766,0.167176924,1.587215922
65,217.89,0.61708,2.740152131,2.0455159,0.172525759,1.610399735
66,217.71,0.61735,2.776577777,2.073891677,0.177934817,1.633462471
67,217.58,0.61763,2.812743732,2.10210307,0.183403219,1.656399529
68,217.46,0.6179,2.848674137,2.130167208,0.188930083,1.679217087
69,217.33,0.61817,2.884374735,2.158087956,0.194514546,1.701931436
70,217.2,0.61845,2.91984212,2.185862575,0.200155804,1.724539797
71,217.08,0.61872,2.955077463,2.21349163,0.205853068,1.747040101
72,216.97,0.619,2.990086482,2.240978974,0.211605547,1.769433679
73,216.86,0.61927,3.024874859,2.268328438,0.217412455,1.791724085
74,216.74,0.61954,3.059443696,2.295540551,0.223273023,1.813913912
75,216.63,0.61982,3.093789542,2.322612557,0.2291865,1.836002479
76,216.51,0.62009,3.127918056,2.349548277,0.235152139,1.85798683
77,216.4,0.62036,3.161825782,2.376344956,0.241169189,1.879872309
78,216.28,0.62063,3.195518365,2.403006405,0.247236916,1.901653416
79,216.19,0.62091,3.228992342,2.42952987,0.253354581,1.923336563
80,216.09,0.62118,3.262262408,2.455925702,0.259521462,1.944915803
81,216.01,0.62145,3.295325043,2.482191115,0.265736831,1.966405029
82,215.93,0.62172,3.328190335,2.508333147,0.271999999,1.987795099
83,215.85,0.622,3.360859262,2.534352266,0.278310269,2.009097567
84,215.76,0.62227,3.393332792,2.560248935,0.284666974,2.030307917
85,215.69,0.62254,3.425607367,2.586020351,0.29106945,2.051428423
86,215.61,0.62281,3.457693018,2.61167352,0.297517039,2.072454852
87,215.54,0.62308,3.489586155,2.637205624,0.304009078,2.093396659
88,215.46,0.62336,3.52129225,2.662620384,0.310544929,2.114246556
89,215.39,0.62363,3.552807705,2.687914978,0.31712395,2.135011631
90,215.31,0.6239,3.584137979,2.713093122,0.323745513,2.155685601
91,215.24,0.62417,3.615279471,2.738151996,0.330408988,2.176275126
92,215.18,0.62444,3.646237626,2.763095308,0.337113755,2.196774105
93,215.11,0.62471,3.67701786,2.787926752,0.343859194,2.217189117
94,215.05,0.62498,3.707616537,2.812643491,0.350644697,2.237521364
95,214.98,0.62526,3.738039061,2.837249213,0.357469671,2.257767037
96,214.91,0.62553,3.768281789,2.861741078,0.364333521,2.277931728
97,214.85,0.6258,3.79834561,2.886119516,0.371235662,2.298009778
98,214.79,0.62607,3.828235908,2.910388206,0.378175508,2.318003929
99,214.73,0.62634,3.857953538,2.934547561,0.385152475,2.337916999
100,214.67,0.62661,3.887499348,2.958597991,0.392165994,2.357748126
101,214.61,0.62688,3.916874183,2.982539904,0.399215502,2.377498007
102,214.55,0.62715,3.946078884,3.006373707,0.40630044,2.397166682
103,214.48,0.62742,3.975114287,3.030099807,0.413420253,2.416754464
104,214.42,0.62769,4.003976727,3.053715358,0.420574391,2.436261554
105,214.35,0.62796,4.032671553,3.077224024,0.427762308,2.455684577
106,214.29,0.62823,4.061195095,3.100622961,0.434983452,2.475028926
107,214.23,0.6285,4.089552691,3.123915827,0.442237287,2.494289031
108,214.17,0.62877,4.117745156,3.14710302,0.449523269,2.513471209
109,214.1,0.62904,4.145773304,3.170184937,0.456840871,2.532573117
110,214.03,0.62931,4.173633452,3.193158729,0.464189569,2.551596073
111,213.96,0.62958,4.20132643,3.216024806,0.471568844,2.570536233
112,213.9,0.62985,4.228853062,3.238783573,0.478978169,2.589395565
113,213.84,0.63012,4.256218655,3.261438673,0.486417023,2.60817358
114,213.78,0.63039,4.283424,3.283990497,0.49388489,2.626874435
115,213.72,0.63066,4.310469886,3.30643943,0.501381267,2.645496695
116,213.66,0.63093,4.337357098,3.32878586,0.508905656,2.664041291
117,213.6,0.6312,4.364086416,3.351030172,0.516457562,2.682508154
118,213.54,0.63147,4.390658616,3.373172748,0.524036495,2.700897638
119,213.48,0.63174,4.417074473,3.395213971,0.53164197,2.719209916
120,213.42,0.63201,4.443334756,3.417154222,0.539273503,2.737445238
121,213.36,0.63228,4.469440229,3.438993879,0.546930618,2.755603821
122,213.3,0.63255,4.495391655,3.46073332,0.554612839,2.773685894
123,213.23,0.63281,4.521189793,3.482372922,0.562319696,2.791691683
124,213.17,0.63308,4.546830924,3.503909831,0.570050724,2.809621413
125,213.09,0.63335,4.572320295,3.525347661,0.577805459,2.827471708
126,213.02,0.63362,4.597649715,3.546680332,0.585583434,2.84524793
127,212.93,0.63389,4.622824444,3.567911467,0.593384192,2.862940935
128,212.85,0.63416,4.647836315,3.589035002,0.601207263,2.880558533
129,212.76,0.63443,4.672690603,3.610054568,0.60905219,2.898090565
130,212.68,0.63469,4.697383626,3.63096734,0.616918499,2.915545279
131,212.61,0.63496,4.721920647,3.651776945,0.624805729,2.932915941
132,212.53,0.63523,4.746306898,3.672486995,0.632713417,2.950209346
133,212.45,0.6355,4.770538667,3.693094645,0.640641109,2.967426553
134,212.37,0.63577,4.794616721,3.713600286,0.648588369,2.984563847
135,212.28,0.63603,4.818541821,3.734004304,0.656554751,3.001623144
136,212.2,0.6363,4.842310275,3.754303871,0.664539817,3.018603974
137,212.12,0.63657,4.865927313,3.774502599,0.672543128,3.035503291
138,212.04,0.63684,4.889393686,3.79460087,0.680564244,3.052326322
139,211.97,0.6371,4.912710141,3.814599067,0.688602733,3.069071194
140,211.89,0.63737,4.935881867,3.834500778,0.696658172,3.085739034
141,211.81,0.63764,4.958905137,3.85430316,0.704730138,3.102333282
142,211.73,0.63791,4.981780686,3.87400659,0.712818224,3.118849226
143,211.65,0.63817,5.004509249,3.893611444,0.720922015,3.135289196
144,211.57,0.63844,5.027091554,3.913118096,0.729041101,3.151652543
145,211.49,0.63871,5.049528329,3.93252692,0.737175074,3.167939875
146,211.41,0.63897,5.071820295,3.951838287,0.74532353,3.184151269
147,211.34,0.63924,5.093968171,3.971052568,0.753486069,3.200287025
148,211.26,0.63951,5.115977105,3.990173332,0.761662295,3.216347349
149,211.19,0.63977,5.137843353,4.009197733,0.769851814,3.232336054
150,211.13,0.64004,5.159572054,4.028129336,0.778054247,3.248248276
151,211.06,0.6403,5.181168313,4.046971688,0.786269206,3.264089968
152,211,0.64057,5.202628359,4.065721929,0.79449632,3.279862494
153,210.93,0.64084,5.22395729,4.084383603,0.802735228,3.29556201
154,210.86,0.6411,5.245151328,4.102953849,0.810985564,3.311194021
155,210.79,0.64137,5.266211142,4.121433011,0.819246974,3.326752938
156,210.72,0.64163,5.287137396,4.139821436,0.8275191,3.342241439
157,210.66,0.6419,5.307930751,4.158119465,0.835801583,3.357658706
158,210.59,0.64217,5.328596282,4.176330632,0.84409407,3.373005397
159,210.5,0.64243,5.349130203,4.194452074,0.852396209,3.388285102
160,210.41,0.6427,5.369524337,4.212477754,0.860707665,3.403493043
161,210.32,0.64296,5.389779383,4.23040804,0.869028091,3.418624443
162,210.24,0.64323,5.409896035,4.248243297,0.877357127,3.433681667
163,210.16,0.64349,5.429879393,4.265987073,0.885694413,3.448664053
164,210.07,0.64376,5.44973012,4.283639715,0.894039595,3.463575766
165,209.98,0.64402,5.46944447,4.30119839,0.902392331,3.478415364
166,209.9,0.64429,5.489023125,4.318663457,0.910752281,3.493180228
167,209.82,0.64455,5.508471165,4.336038454,0.9191191,3.507871802
168,209.73,0.64482,5.527789238,4.353323724,0.927492445,3.522493355
169,209.65,0.64508,5.546973595,4.370516433,0.935871986,3.537043819
170,209.57,0.64534,5.566029299,4.387620109,0.944257397,3.551520422
171,209.48,0.64561,5.584956991,4.404635093,0.952648345,3.565928208
172,209.4,0.64587,5.603752915,4.421558549,0.961044509,3.580265361
173,209.32,0.64614,5.622422121,4.438394001,0.969445571,3.594529425
174,209.24,0.6464,5.64096524,4.455141782,0.977851207,3.608725305
175,209.16,0.64666,5.6593829,4.471802228,0.986261105,3.622851242
176,209.08,0.64693,5.677675725,4.488375671,0.994674956,3.63690829
177,209.02,0.64719,5.695844338,4.504862443,1.003092454,3.650896316
178,208.95,0.64745,5.713898122,4.521269204,1.011513297,3.66481569
179,208.89,0.64772,5.731833262,4.537593092,1.019937184,3.678673625
180,208.82,0.64798,5.749654728,4.553837584,1.028363838,3.692463821
181,208.75,0.64824,5.767358702,4.569999818,1.036792973,3.706192765
182,208.69,0.64851,5.784945767,4.586080104,1.045224319,3.719854472
183,208.62,0.64877,5.802420878,4.602081914,1.053657594,3.733451767
184,208.55,0.64903,5.819780214,4.618002384,1.062092523,3.746987277
185,208.48,0.6493,5.837024349,4.633841824,1.07052884,3.760456647
186,208.42,0.64956,5.854153855,4.649600539,1.078966275,3.773862012
187,208.35,0.64982,5.871173671,4.665281993,1.087404557,3.787202765
188,208.28,0.65009,5.88807997,4.680883322,1.09584342,3.800482971
189,208.2,0.65035,5.904873315,4.69640483,1.104282609,3.813697672
190,208.13,0.65061,5.921549901,4.711843666,1.112721863,3.826849254
191,208.06,0.65087,5.938114674,4.727203298,1.121160922,3.839933487
192,207.99,0.65113,5.954568191,4.742484027,1.129599519,3.852955977
193,207.92,0.6514,5.970911002,4.757686151,1.138037401,3.865914641
194,207.84,0.65166,5.987143658,4.77280997,1.146474315,3.878810647
195,207.77,0.65192,6.003262347,4.787852633,1.154910011,3.89164379
196,207.69,0.65218,6.019271996,4.802817596,1.163344243,3.904410932
197,207.62,0.65245,6.035168789,4.81770201,1.171776756,3.917117211
198,207.54,0.65271,6.050957644,4.832509325,1.180207307,3.929757233
199,207.47,0.65297,6.066634746,4.847236693,1.188635647,3.942337081
200,207.39,0.65323,6.082205002,4.861887559,1.197061539,3.954850964
201,207.31,0.65349,6.097664594,4.876459075,1.205484737,3.96730513
202,207.23,0.65375,6.113014075,4.890951542,1.213905009,3.979693719
203,207.15,0.65401,6.128253996,4.905365265,1.222322114,3.992019503
204,207.08,0.65428,6.143384902,4.919700543,1.230735814,4.004281608
205,207,0.65454,6.158411682,4.933960813,1.239145874,4.016480696
206,206.92,0.6548,6.173330511,4.948143224,1.247552059,4.028620277
207,206.84,0.65506,6.18814193,4.962248076,1.25595415,4.040695649
208,206.75,0.65532,6.202846475,4.976275663,1.264351918,4.052709094
209,206.67,0.65558,6.217440345,4.990223152,1.272745135,4.06465994
210,206.59,0.65584,6.231928429,5.004093981,1.281133577,4.076545269
211,206.51,0.6561,6.246311257,5.017888442,1.289517014,4.088370111
212,206.43,0.65636,6.260589355,5.031606828,1.297895224,4.100132628
213,206.34,0.65662,6.274763246,5.045249431,1.30626799,4.111833884
214,206.26,0.65688,6.288829125,5.058813416,1.314635098,4.123473717
215,206.17,0.65714,6.30279186,5.072302209,1.322996334,4.135048998
216,206.09,0.6574,6.316647643,5.085712976,1.331351478,4.146564836
217,206,0.65766,6.330401335,5.09904914,1.33970032,4.158015874
218,205.92,0.65792,6.344049127,5.112307866,1.348042645,4.169408155
219,205.83,0.65818,6.357595868,5.125492571,1.356378247,4.180735931
220,205.75,0.65844,6.371037749,5.138600422,1.364706916,4.192005406
221,205.66,0.6587,6.384379613,5.151634832,1.373028451,4.203210764
222,205.58,0.65896,6.397617646,5.164592967,1.381342644,4.214358234
223,205.49,0.65922,6.410756684,5.177478235,1.389649299,4.225441992
224,205.4,0.65948,6.423792911,5.190287804,1.397948214,4.236468264
225,205.31,0.65974,6.436726848,5.203021966,1.406239196,4.24743123
226,205.22,0.65999,6.449559008,5.215681013,1.414522046,4.258333642
227,205.13,0.66025,6.462289904,5.228265234,1.422796567,4.269174633
228,205.04,0.66051,6.474920048,5.240774918,1.431062563,4.279954858
229,204.95,0.66077,6.487449947,5.253210355,1.439319842,4.290674333
230,204.86,0.66103,6.499880107,5.265571831,1.447568212,4.301333341
231,204.77,0.66129,6.512211029,5.277859632,1.455807484,4.31193205
232,204.67,0.66155,6.524443216,5.290074043,1.464037471,4.322470679
233,204.58,0.6618,6.536572873,5.302212248,1.472257989,4.332949424
234,204.48,0.66206,6.54860481,5.314277643,1.480468853,4.343365032
235,204.39,0.66232,6.560535233,5.326267412,1.488669874,4.353722636
236,204.29,0.66258,6.572368943,5.338184946,1.496860872,4.364016898
237,204.2,0.66283,6.584102145,5.350027431,1.50504166,4.374253825
238,204.1,0.66309,6.59573963,5.361798252,1.513212064,4.384427712
239,204,0.66335,6.607277603,5.373494595,1.5213719,4.394544716
240,203.9,0.66361,6.618716569,5.385116752,1.529520997,4.404599071
241,203.8,0.66386,6.630057031,5.396665011,1.537659178,4.41459351
242,203.7,0.66412,6.641299491,5.408139662,1.545786263,4.424527175
243,203.61,0.66438,6.652444447,5.419540993,1.553902079,4.434400723
244,203.51,0.66463,6.663496664,5.430872372,1.562006452,4.44421417
245,203.4,0.66489,6.674452344,5.442130989,1.570099212,4.453971239
246,203.3,0.66515,6.685307713,5.453314049,1.578180198,4.463667197
247,203.2,0.6654,6.696067548,5.464424928,1.586249244,4.473300902
