simulation time [sec],battery current [A],battery soc [%],Socket,Crimp,Coolant,Overmold
0,0,0.2,0,0,0,0
1,-6.2108,0.2,0,0,0,0
2,-17.723,0.20001,4.04E-05,2.92E-05,0,0
3,-46.32,0.20005,0.000369575,0.00026692,0,3.26E-05
4,-75.02,0.20012,0.002617304,0.001890414,4.63E-08,0.000283834
5,-103.56,0.20024,0.008505323,0.006144618,4.69E-07,0.001987674
6,-132.01,0.20038,0.019708346,0.014241987,3.46E-06,0.006010151
7,-160.07,0.20057,0.037883572,0.027383734,1.32E-05,0.013335774
8,-188.19,0.20079,0.064563226,0.046682209,3.57E-05,0.024886207
9,-216.06,0.20104,0.101380594,0.073324015,7.89E-05,0.04151017
10,-243.67,0.20133,0.149831066,0.10839753,0.000152599,0.064169673
11,-271.02,0.20166,0.211353805,0.152951764,0.000268155,0.093668985
12,-298.11,0.20201,0.287335802,0.207999232,0.000438799,0.130834761
13,-324.94,0.20241,0.379112557,0.274516396,0.000679311,0.176443242
14,-351.52,0.20283,0.487968753,0.35344411,0.001006014,0.231251458
15,-377.85,0.20329,0.615146302,0.445693376,0.001436702,0.295984577
16,-403.92,0.20378,0.761839262,0.552141639,0.00199058,0.371347674
17,-429.74,0.20431,0.929185994,0.673627075,0.00268821,0.458016638
18,-455.32,0.20487,1.118285682,0.810960475,0.00355145,0.556635657
19,-480.65,0.20546,1.330201096,0.964927198,0.00460339,0.667831547
20,-505.74,0.20608,1.565941129,1.136274531,0.005868295,0.792209889
21,-530.59,0.20673,1.826480524,1.325725882,0.007371569,0.930342564
22,-555.21,0.20742,2.112751397,1.53397463,0.00913968,1.082788874
23,-579.6,0.20813,2.425655443,1.761692899,0.011200126,1.250079759
24,-603.76,0.20888,2.766054343,2.009524605,0.013581375,1.432734263
25,-627.7,0.20965,3.13477029,2.278085791,0.016312831,1.631244826
26,-651.43,0.21046,3.532599676,2.567974487,0.019424785,1.846083892
27,-666.82,0.21129,3.96031554,2.879772444,0.022948363,2.07771211
28,-657.85,0.21213,4.407218511,3.205777263,0.026915501,2.326576819
29,-662.4,0.21296,4.839485755,3.52157896,0.031358906,2.583894331
30,-660.76,0.21379,5.275945057,3.840760147,0.036298935,2.826156466
31,-656.3,0.21462,5.708002552,4.15711707,0.04171716,3.078449613
32,-655.75,0.21545,6.131796055,4.467855645,0.047616716,3.323262922
33,-657.28,0.21628,6.552768018,4.776897813,0.053990917,3.56487375
34,-656.83,0.21711,6.973795093,5.086317279,0.060828672,3.805856072
35,-655.93,0.21794,7.392150699,5.394143859,0.068125148,4.047433656
36,-655.62,0.21876,7.807229116,5.699936633,0.075878827,4.286892069
37,-655.22,0.21959,8.219858772,6.004289839,0.084085084,4.524887471
38,-654.6,0.22041,8.629928137,6.307119649,0.092738608,4.761807295
39,-654.1,0.22124,9.037147987,6.60821383,0.101835057,4.99739507
40,-653.63,0.22206,9.44169759,6.907698236,0.111369976,5.231523412
41,-653.15,0.22289,9.843631598,7.205608896,0.121338595,5.464387637
42,-648.69,0.22371,10.24294952,7.50194208,0.131736364,5.695946434
43,-645.36,0.22453,10.63423415,7.792782418,0.142558813,5.926214027
44,-640.81,0.22534,11.0190942,8.079283696,0.153801486,6.150819935
45,-636.32,0.22614,11.39594331,8.360293789,0.165453742,6.372899911
46,-632.36,0.22694,11.76494398,8.63592218,0.177506815,6.589847633
47,-628.82,0.22774,12.12687923,8.906726615,0.189950151,6.802887736
48,-625.62,0.22853,12.48236998,9.17314849,0.20277342,7.01212768
49,-622.4,0.22931,12.83191983,9.435545019,0.215967221,7.218015725
50,-619.43,0.2301,13.1755531,9.693927756,0.229522898,7.420762502
51,-616.67,0.23088,13.51364502,9.948561707,0.243432403,7.620293421
52,-614.15,0.23165,13.8465126,10.19967017,0.257687741,7.816937097
53,-611.85,0.23243,14.17450629,10.44750089,0.272281376,8.010805249
54,-609.74,0.2332,14.49794535,10.6922794,0.287206161,8.202128283
55,-607.79,0.23396,14.81710597,10.93420042,0.302455374,8.391061687
56,-606.07,0.23473,15.13222223,11.17342851,0.318022684,8.577758108
57,-604.64,0.23549,15.44361405,11.41019042,0.333902095,8.762337732
58,-603.45,0.23625,15.75167338,11.64476524,0.350087902,8.945003768
59,-602.54,0.23701,16.05672439,11.87738341,0.366574785,9.125982581
60,-601.84,0.23777,16.35913839,12.10830975,0.383357893,9.305436423
61,-601.45,0.23853,16.65919494,12.33774312,0.40043276,9.483592847
62,-569.6,0.23927,16.95729745,12.56597205,0.417795363,9.660578224
63,-607.9,0.24001,17.21484178,12.76511644,0.435442012,9.836661567
