simulation time [sec],battery current [A],battery soc [%],Socket,Crimp,Coolant,Overmold
0,0,0,0,0,0,0
1,-10.694,3.91E-06,0,0,0,0
2,-22.595,1.57E-05,0.000119904,8.66E-05,0,0
3,-52.315,6.23E-05,0.000654598,0.000472815,0,9.65E-05
4,-83.292,0.00014738,0.003520915,0.002543258,1.37E-07,0.000486341
5,-114.45,0.00027164,0.010777558,0.007786568,8.86E-07,0.002629876
6,-145.6,0.00043522,0.024458705,0.017675415,4.91E-06,0.007569078
7,-176.28,0.00063776,0.046566356,0.033660943,1.72E-05,0.016504002
8,-206.96,0.00087903,0.078920189,0.057064305,4.52E-05,0.030543557
9,-237.28,0.0011588,0.123444046,0.08928339,9.83E-05,0.050689718
10,-267.22,0.0014765,0.181873133,0.13158146,0.000188348,0.078074824
11,-296.78,0.0018317,0.255854333,0.185159425,0.000329045,0.113625623
12,-325.96,0.002224,0.346954931,0.251162064,0.00053617,0.158285784
13,-354.76,0.0026528,0.456663912,0.330678892,0.000827306,0.212928947
14,-383.19,0.0031178,0.58639325,0.424745017,0.001221773,0.278396375
15,-411.24,0.0036183,0.73748723,0.534347802,0.001740529,0.355482049
16,-438.92,0.004154,0.911208789,0.660416942,0.002406079,0.444946399
17,-466.39,0.0047245,1.108756859,0.803836916,0.003242388,0.54749946
18,-493.53,0.0053293,1.331416556,0.965555382,0.004274789,0.663821891
19,-520.33,0.0059682,1.58030624,1.146400592,0.005529897,0.794676969
20,-507.21,0.0066247,1.856471569,1.347149169,0.007035712,0.94065966
21,-508.63,0.0072621,2.117156557,1.536947495,0.008821415,1.102378225
22,-493.79,0.0078932,2.378083761,1.727135557,0.010917288,1.245168686
23,-486.5,0.0085146,2.622142692,1.905356549,0.013304589,1.396328236
24,-475.34,0.0091232,2.85751977,2.077507172,0.015982572,1.530556188
25,-465.13,0.0097183,3.080495587,2.240893398,0.018930939,1.665113889
26,-455.89,0.010301,3.292317364,2.396404702,0.022138806,1.789714226
27,-447.9,0.010871,3.494184349,2.544897008,0.025591079,1.909693233
28,-440.87,0.011431,3.687496459,2.687372208,0.029274142,2.02375675
29,-433.9,0.011979,3.873315778,2.824589443,0.033175795,2.133569343
30,-424.65,0.012517,4.051837033,2.956682432,0.037285487,2.239276617
31,-415.94,0.013047,4.221161951,3.082273633,0.041593918,2.340967445
32,-408.91,0.013568,4.38198544,3.201856575,0.046092046,2.437070196
33,-404.55,0.014083,4.535945575,3.316606505,0.050768687,2.528801634
34,-401.12,0.014591,4.685436955,3.428246401,0.055613488,2.616960613
35,-396.37,0.015092,4.831302552,3.537380797,0.060618007,2.703131876
36,-391.2,0.015588,4.972485745,3.643243176,0.065776574,2.787320589
37,-386.44,0.016079,5.108711939,3.745630875,0.071084504,2.868670326
38,-382.18,0.016564,5.240393401,3.844837026,0.076535923,2.9473183
39,-378.63,0.017044,5.368000225,3.941196891,0.08212466,3.023534959
40,-377.04,0.01752,5.492153506,4.035155182,0.087845035,3.097580941
41,-378.61,0.017996,5.614442099,4.127856019,0.093691929,3.169842903
42,-378.82,0.018474,5.73737871,4.221112026,0.099660951,3.241433902
43,-378.41,0.018951,5.859883081,4.314143326,0.105749541,3.313904935
44,-378.55,0.019429,5.981465036,4.406595256,0.11195803,3.385730521
45,-378.77,0.019906,6.102565693,4.498785263,0.11828551,3.457159554
46,-379.52,0.020384,6.22325097,4.590760225,0.124730516,3.528441677
47,-380.6,0.020863,6.343944489,4.682825392,0.131292094,3.599523777
48,-381.69,0.021344,6.464910645,4.77517139,0.137969367,3.670768747
49,-382.69,0.021826,6.586158559,4.867804727,0.144761946,3.742235879
50,-383.57,0.022309,6.707617118,4.960673975,0.151669746,3.813907272
51,-384.35,0.022793,6.82919086,5.053710066,0.158692694,3.885733166
52,-385.06,0.023278,6.95080024,5.146855346,0.165830637,3.957657639
53,-385.7,0.023764,7.072389835,5.240069511,0.173083311,4.029640136
54,-386.33,0.024251,7.193904178,5.333312183,0.180450362,4.101652972
55,-386.87,0.024738,7.315336393,5.426578025,0.187931376,4.173662946
56,-387.28,0.025226,7.436614692,5.519814823,0.195525874,4.245678268
57,-387.67,0.025715,7.557634847,5.612946872,0.203233372,4.31763738
58,-385.92,0.026203,7.678382208,5.705963075,0.211053305,4.389482025
59,-384.97,0.026689,7.797121831,5.797610022,0.218984993,4.461224629
60,-383.2,0.027173,7.914515053,5.888363297,0.227027738,4.531462621
61,-382.02,0.027656,8.029910717,5.97775124,0.235178861,4.601319583
62,-380.81,0.028137,8.14379739,6.066124692,0.243436446,4.66979571
63,-379.45,0.028616,8.256161389,6.153472216,0.251797841,4.73770486
64,-378.6,0.029094,8.366893827,6.239713619,0.260260959,4.804691138
65,-378.71,0.029571,8.476411148,6.325147987,0.268823707,4.870815685
66,-379.05,0.030049,8.585482187,6.410329239,0.277483873,4.936386728
67,-379.07,0.030527,8.694291901,6.495390307,0.286239731,5.001891945
68,-379.08,0.031005,8.802587336,6.580148048,0.295090439,5.067273518
69,-379.16,0.031483,8.910363049,6.664597844,0.304035372,5.132351642
70,-360.07,0.031955,9.017677223,6.748781021,0.313073617,5.197197382
71,-366.93,0.03241,9.109672647,6.821967916,0.322204258,5.261827051
72,-380.09,0.032882,9.206448758,6.898659986,0.331426449,5.31427076
73,-377.84,0.033361,9.313060576,6.982511529,0.340722348,5.375759498
74,-377.87,0.033837,9.417364932,7.064761553,0.350097151,5.441398319
75,-379.88,0.034314,9.521184834,7.146724338,0.359561846,5.503477639
76,-381.16,0.034794,9.626095768,7.229536969,0.369113498,5.566723521
77,-381.37,0.035275,9.731516868,7.31278067,0.378751251,5.630409485
78,-381.66,0.035756,9.836592194,7.395837531,0.388476057,5.6943737
79,-382.11,0.036238,9.941387543,7.478754542,0.3982882,5.757995836
80,-382.58,0.03672,10.04603263,7.561624908,0.408186987,5.821590667
81,-383.01,0.037202,10.15054466,7.644460694,0.418171799,5.885129451
82,-383.34,0.037686,10.2548926,7.727239162,0.428242167,5.948637779
83,-383.65,0.038169,10.35899727,7.809902747,0.438397646,6.012079596
84,-384.01,0.038653,10.46284398,7.892440422,0.448637755,6.075406059
85,-384.42,0.039138,10.56647444,7.97488187,0.458961924,6.138625654
86,-384.84,0.039623,10.66993029,8.057256748,0.46936957,6.20176804
87,-385.25,0.040108,10.77322079,8.139571384,0.479860157,6.264853866
88,-385.67,0.040594,10.87633905,8.221820435,0.490433201,6.32788156
89,-386.08,0.041081,10.97929435,8.304010238,0.501088229,6.390845927
90,-386.45,0.041568,11.08207975,8.386135433,0.511824762,6.453756339
91,-386.75,0.042055,11.18466402,8.468173104,0.522642332,6.516602966
92,-386.99,0.042543,11.28699164,8.550082784,0.533540467,6.579364515
93,-387.22,0.043031,11.38901537,8.631829919,0.544518661,6.642004984
94,-387.47,0.04352,11.49072869,8.713409333,0.555576342,6.704501196
95,-387.73,0.044008,11.59214947,8.794833464,0.566712892,6.766857327
96,-388,0.044497,11.69328739,8.87610885,0.577927682,6.829085623
97,-388.27,0.044987,11.79415212,8.95724202,0.589220109,6.891188332
98,-388.54,0.045476,11.89474513,9.038233612,0.600589582,6.953171908
99,-388.81,0.045967,11.99506791,9.119084259,0.612035523,7.015034461
100,-389.07,0.046457,12.09512192,9.199794593,0.623557359,7.07677762
101,-389.34,0.046948,12.19490047,9.280359352,0.635154519,7.138401527
102,-389.6,0.047439,12.2944132,9.360785074,0.646826436,7.19990038
103,-389.86,0.04793,12.3936534,9.441066483,0.658572538,7.261284044
104,-390.12,0.048422,12.49262252,9.521204216,0.670392265,7.322542593
105,-390.37,0.048914,12.59132205,9.601198906,0.682285053,7.383681052
106,-390.62,0.049406,12.68974524,9.681045275,0.694250339,7.444698132
107,-390.85,0.049899,12.78789357,9.760743966,0.706287566,7.50558861
108,-391.26,0.050392,12.88575212,9.840283782,0.71839617,7.566355534
109,-392.18,0.050886,12.98347006,9.919772014,0.73057559,7.626985258
110,-394.1,0.051382,13.08146757,9.999511785,0.742825253,7.687603296
111,-397.38,0.05188,13.18057041,10.08009947,0.755144754,7.748494668
112,-401.34,0.052384,13.28191225,10.16235448,0.767534173,7.810203794
113,-405.49,0.052893,13.38607653,10.24669987,0.779994536,7.8734139
114,-409.45,0.053406,13.49324389,10.33326827,0.792528162,7.938307237
115,-413.44,0.053925,13.60327265,10.4219597,0.805138031,8.004953821
116,-417.75,0.054449,13.71620776,10.51280885,0.817827322,8.073211878
117,-421.87,0.054978,13.83234865,10.60603417,0.830599038,8.143179353
118,-423.91,0.055512,13.95155054,10.70153361,0.843456226,8.215057882
119,-424.69,0.056047,14.07198063,10.79798597,0.856402264,8.288647727
120,-425.96,0.056583,14.19251791,10.89458253,0.869440353,8.362559519
121,-428.7,0.057122,14.31360055,10.99163954,0.882571586,8.436478596
122,-432.4,0.057664,14.43654849,11.09011041,0.895795767,8.510891139
123,-436.69,0.058212,14.56223785,11.19062914,0.909113201,8.586654733
124,-441.44,0.058766,14.69122389,11.2935988,0.922525703,8.664113315
125,-447.15,0.059326,14.82395472,11.39934549,0.936036084,8.743570017
126,-453.45,0.059893,14.96135858,11.50854245,0.949647784,8.825259534
127,-459.31,0.060469,15.10404171,11.62163114,0.963364744,8.909832386
128,-464.47,0.061051,15.25163762,11.73835108,0.977191954,8.997504769
129,-469.16,0.06164,15.40351211,11.85824811,0.991135081,9.087893503
130,-473.78,0.062234,15.55923753,11.98101674,1.005199355,9.180653041
131,-478.57,0.062835,15.7187717,12.1066294,1.019389262,9.275588026
132,-483.6,0.063441,15.88231139,12.23523108,1.033708781,9.372749647
133,-488.94,0.064054,16.05012851,12.36702116,1.04816183,9.472277201
134,-494.65,0.064674,16.22257301,12.50225562,1.062752538,9.574333288
135,-500.7,0.065302,16.40006578,12.64124191,1.077485332,9.679133642
136,-507.15,0.065937,16.58300744,12.78427324,1.092365022,9.786928891
137,-513.98,0.066581,16.77187341,12.93169712,1.107396888,9.897938869
138,-521.25,0.067233,16.96713147,13.08385594,1.122586646,10.0124569
139,-528.99,0.067895,17.16932903,13.24114998,1.13794054,10.13073945
140,-537.31,0.068567,17.37906421,13.40401659,1.153465327,10.25312295
141,-546.66,0.06925,17.59707905,13.57299751,1.169168368,10.37995126
142,-557.48,0.069946,17.82465795,13.74902678,1.185057684,10.51168136
143,-569.91,0.070657,18.06365379,13.93345,1.201142118,10.64915962
144,-583.6,0.071384,18.31617776,14.12780087,1.217431953,10.79352641
145,-598.14,0.072128,18.58402823,14.33338891,1.233939559,10.94600696
146,-613.13,0.072892,18.86858887,14.55122568,1.250679681,11.10754015
147,-628.19,0.073674,19.17079993,14.78200364,1.267669074,11.27885318
148,-643.09,0.074476,19.49113881,15.02608175,1.28492602,11.46040674
149,-657.83,0.075296,19.82977696,15.28359838,1.302469818,11.65240219
150,-672.12,0.076134,20.18687003,15.55468059,1.320320245,11.85490455
151,-679.63,0.076988,20.56214926,15.83914903,1.338497209,12.06802393
152,-675,0.077841,20.9462436,16.1302509,1.357020727,12.29150975
153,-675.75,0.078693,21.32189052,16.41552667,1.375910442,12.51793485
154,-676.88,0.079545,21.69676926,16.70051367,1.395175204,12.73654458
155,-675.91,0.080398,22.07142394,16.98560322,1.414804071,12.95806314
156,-675.46,0.08125,22.44287732,17.26864413,1.434794902,13.17839902
157,-675.24,0.082102,22.81188319,17.55017709,1.455146195,13.3968793
158,-674.78,0.082953,23.17877952,17.83044312,1.475853048,13.61439379
159,-674.31,0.083804,23.54323704,18.10920171,1.496911436,13.83083631
160,-673.9,0.084654,23.90525393,18.38644853,1.518317733,14.04598404
161,-673.49,0.085503,24.26492734,18.66225075,1.54006795,14.25992726
162,-673.06,0.086352,24.62226902,18.93661397,1.562158111,14.47270364
163,-672.66,0.087201,24.97726248,19.20952339,1.584584362,14.68430433
164,-672.27,0.088048,25.32996185,19.48101521,1.607342877,14.89471739
165,-671.89,0.088896,25.68039274,19.75110512,1.630429825,15.10398908
166,-671.53,0.089743,26.02858062,20.01980869,1.653841449,15.31211815
167,-671.17,0.090589,26.37456488,20.28715163,1.677574034,15.51912332
168,-670.82,0.091435,26.71835652,20.55313916,1.70162391,15.72502613
169,-670.47,0.092281,27.05998058,20.81778666,1.72598746,15.92982408
170,-670.13,0.093126,27.39944787,21.08109926,1.750661096,16.13353614
171,-669.8,0.093971,27.7367832,21.34309224,1.775641269,16.33616082
172,-669.31,0.094815,28.07201125,21.60378081,1.800924454,16.53771653
173,-669.2,0.095659,28.40491794,21.86300777,1.826507169,16.73821321
174,-668.72,0.096502,28.73604816,22.12116386,1.852385971,16.93747214
175,-668.57,0.097345,29.06489162,22.37787828,1.878557182,17.13600531
176,-668.43,0.098188,29.39192247,22.63349074,1.905017763,17.33318365
177,-668.23,0.099031,29.7171636,22.88801546,1.931764101,17.52965236
178,-668,0.099873,30.04053971,23.14139579,1.958793136,17.72515554
179,-667.81,0.10072,30.36201794,23.39360567,1.986101846,17.91973858
180,-667.62,0.10156,30.68166365,23.64468997,2.013687136,18.11335403
181,-667.42,0.1024,30.99948586,23.8946529,2.041545879,18.30607263
182,-667.22,0.10324,31.31547953,24.14348857,2.069675038,18.49786985
183,-667.05,0.10408,31.62965364,24.3912012,2.098071594,18.68875013
184,-666.89,0.10492,31.94205913,24.63782532,2.126732534,18.87871697
185,-666.73,0.10576,32.25271864,24.88337509,2.155654864,19.06780802
186,-666.58,0.1066,32.56164073,25.12785453,2.184835662,19.25602381
187,-666.46,0.10744,32.86884791,25.37127774,2.214272038,19.44336921
188,-666.33,0.10828,33.1743905,25.61367893,2.243961123,19.62985849
189,-666.21,0.10913,33.47826268,25.85505183,2.273900086,19.81552439
190,-666.09,0.10997,33.78048657,26.09541033,2.304086161,20.00034666
191,-665.98,0.1108,34.08107026,26.33475823,2.334516585,20.18434997
192,-665.43,0.11164,34.38003571,26.57310937,2.365188629,20.36752869
193,-665.69,0.11248,34.67677669,26.81002395,2.396099586,20.54990123
194,-665.67,0.11332,34.97243466,27.04632375,2.427246781,20.73097001
195,-665.48,0.11416,35.26662411,27.28172886,2.458626854,20.91186231
196,-665.35,0.115,35.55911495,27.51607125,2.490237762,21.09179024
197,-665.26,0.11584,35.84999923,27.74941535,2.522077032,21.27089956
198,-665.2,0.11668,36.13934061,27.98180518,2.554141933,21.44920139
199,-665.11,0.11752,36.42718848,28.21327451,2.586429848,21.62674061
200,-665.03,0.11836,36.71350827,28.44379652,2.618938245,21.80353645
201,-664.94,0.11919,36.9983214,28.67338482,2.651664655,21.97955141
202,-664.85,0.12003,37.28162128,28.90203278,2.684606578,22.15481701
203,-664.77,0.12087,37.56341529,29.12974392,2.717761548,22.32931312
204,-664.69,0.12171,37.84372474,29.35653177,2.751127099,22.50305266
205,-664.61,0.12255,38.12255686,29.58239975,2.784700783,22.6760458
206,-664.53,0.12338,38.39991887,29.80735129,2.818480183,22.84829258
207,-664.45,0.12422,38.67581795,30.03138979,2.852462901,23.0197973
208,-664.38,0.12506,38.95026123,30.25451863,2.886646555,23.19056244
209,-664.31,0.1259,39.22326976,30.47675125,2.921028776,23.36059124
210,-664.24,0.12674,39.49485054,30.69809097,2.955607217,23.52989782
211,-664.17,0.12757,39.76501053,30.91854111,2.990379559,23.6984804
212,-664.11,0.12841,40.03375666,31.13810497,3.025343499,23.86634392
213,-664.04,0.12925,40.30110977,31.35679589,3.060496753,24.03349046
214,-663.97,0.13008,40.56706272,31.57460705,3.09583705,24.1999345
215,-663.9,0.13092,40.83162235,31.79154171,3.131362152,24.36566279
216,-663.84,0.13176,41.09479545,32.00760313,3.16706982,24.53068504
217,-663.78,0.1326,41.35660272,32.2228046,3.202957829,24.69500125
218,-663.7,0.13343,41.6170508,32.43714931,3.239023974,24.8586267
219,-663.66,0.13427,41.87611851,32.65062032,3.275266075,25.02155896
220,-663.59,0.13511,42.13386823,32.86326109,3.311681973,25.18378063
221,-663.56,0.13594,42.39026466,33.07504453,3.348269489,25.34534796
222,-663.53,0.13678,42.64537005,33.28601403,3.385026522,25.50620745
223,-663.49,0.13762,42.89919069,33.4961726,3.421950941,25.6664305
224,-663.44,0.13845,43.15171894,33.70551318,3.459040691,25.82599074
225,-663.41,0.13929,43.40294717,33.91402877,3.496293733,25.98489187
226,-663.33,0.14012,43.65290956,34.12174252,3.533708024,26.14312494
227,-663.28,0.14096,43.90154273,34.32860716,3.571281522,26.30071998
228,-663.23,0.1418,44.14889488,34.53465598,3.60901223,26.45761202
229,-663.14,0.14263,44.39497226,34.739892,3.646898084,26.61386606
230,-662.97,0.14347,44.63972547,34.94427807,3.684937085,26.76945845
231,-663.02,0.14431,44.88304975,35.14773703,3.723127245,26.92435814
232,-662.98,0.14514,45.12525794,35.35049319,3.761466529,27.07849265
233,-662.83,0.14598,45.36623037,35.5524588,3.799952787,27.23214319
234,-662.83,0.14681,45.60582014,35.75352637,3.838584235,27.38509347
235,-662.77,0.14765,45.8442425,35.95384979,3.877358959,27.53731535
236,-662.68,0.14848,46.08141976,36.1533716,3.916274884,27.68899282
237,-662.62,0.14932,46.3173163,36.35206468,3.955330186,27.83998444
238,-662.56,0.15015,46.55198006,36.54996219,3.99452296,27.99032007
239,-662.46,0.15099,46.78541706,36.74706708,4.033851267,28.14002454
240,-662.41,0.15183,47.0175777,36.94334218,4.073313228,28.28909101
241,-662.3,0.15266,47.24853769,37.13884071,4.112906981,28.4374813
242,-662.24,0.1535,47.47821954,37.33350539,4.152630608,28.58527131
243,-662.13,0.15433,47.70669893,37.52738944,4.192482289,28.73236545
244,-662.06,0.15517,47.93391232,37.72044563,4.23246012,28.87886386
245,-661.95,0.156,48.15992143,37.91271715,4.27256229,29.02467196
246,-661.88,0.15683,48.3846766,38.10416681,4.312786921,29.16987822
