simulation time [sec],battery current [A],battery soc [%],Socket,Crimp,Coolant,Overmold
0,0,0.5,0,0,0,0
1,-6.6738,0.5,0,0,0,0
2,-17.887,0.50001,4.67E-05,3.37E-05,0,0
3,-43.716,0.50005,0.000381922,0.000275842,0,3.76E-05
4,-70.222,0.50012,0.002383774,0.001721788,5.34E-08,0.000291651
5,-96.803,0.50022,0.007542285,0.005448985,4.90E-07,0.001796352
6,-123.42,0.50036,0.01733053,0.012523869,3.22E-06,0.005315453
7,-149.72,0.50053,0.033216855,0.024010694,1.18E-05,0.011714084
8,-176.11,0.50074,0.056557521,0.040894005,3.16E-05,0.021811858
9,-202.3,0.50098,0.088799863,0.064225241,6.96E-05,0.036358374
10,-228.27,0.50125,0.131275995,0.094973837,0.000134072,0.056207112
11,-254.03,0.50155,0.185269016,0.134074931,0.000235287,0.082075912
12,-279.57,0.50189,0.252025159,0.182438093,0.000384797,0.11470136
13,-304.9,0.50226,0.332744689,0.240940716,0.000595625,0.154783372
14,-330.02,0.50266,0.428593071,0.31043604,0.00088218,0.2030012
15,-354.93,0.50309,0.540696628,0.39174998,0.001260195,0.260015642
16,-379.62,0.50355,0.670143011,0.48568143,0.001746683,0.326464584
17,-385.75,0.50404,0.817973701,0.592996817,0.00235989,0.402965224
18,-359.43,0.50452,0.970003196,0.703467334,0.003119245,0.490107072
19,-334.03,0.50494,1.100728201,0.798679056,0.004045304,0.576231876
20,-346.8,0.50538,1.212348672,0.880202178,0.005142322,0.645734859
21,-330.99,0.50579,1.332540852,0.968006336,0.00638534,0.706971192
22,-331.16,0.50622,1.44091217,1.047372097,0.007751971,0.778685563
23,-332.47,0.50663,1.548873468,1.126529357,0.009251573,0.836539404
24,-325.76,0.50705,1.657220214,1.206051885,0.010870173,0.899990702
25,-324.63,0.50746,1.760408252,1.281936013,0.01260688,0.961465024
26,-325.48,0.50787,1.862322943,1.356982841,0.014461727,1.019692357
27,-321.99,0.50828,1.964320431,1.432170316,0.016428407,1.078336685
28,-320.83,0.50868,2.063451745,1.505368632,0.018505071,1.136940765
29,-321.66,0.50909,2.161318229,1.577731464,0.020691434,1.193321904
30,-321.18,0.50949,2.259266969,1.650230243,0.022983841,1.249689803
