simulation time [sec],battery current [A],battery soc [%],Socket,Crimp,Coolant,Overmold
0,0,0.4,0,0,0,0
1,-7.4025,0.4,0,0,0,0
2,-18.802,0.40001,5.75E-05,4.15E-05,0,0
3,-44.899,0.40005,0.000427822,0.000308997,0,4.63E-05
4,-71.887,0.40012,0.002539363,0.001834193,6.57E-08,0.000324956
5,-99.016,0.40023,0.007945195,0.005740123,5.55E-07,0.001907587
6,-126.2,0.40037,0.018185827,0.013142035,3.46E-06,0.005592987
7,-153.05,0.40055,0.034795561,0.025151987,1.25E-05,0.012285836
8,-180.01,0.40076,0.059185624,0.042794444,3.33E-05,0.022842271
9,-206.74,0.401,0.092871343,0.067170217,7.30E-05,0.038040885
10,-233.25,0.40128,0.137231797,0.09928299,0.00014055,0.058777865
11,-259.53,0.40159,0.193605563,0.14010833,0.000246405,0.085791084
12,-285.58,0.40193,0.263282564,0.190587773,0.000402696,0.119853623
13,-311.41,0.40231,0.347508414,0.25163191,0.00062301,0.161685492
14,-337.02,0.40272,0.447491495,0.324125458,0.000922362,0.211994326
15,-362.41,0.40316,0.564398555,0.408924045,0.001317145,0.271463887
16,-387.56,0.40363,0.699355212,0.506854539,0.00182508,0.340755327
17,-412.5,0.40413,0.853430206,0.618703631,0.002465161,0.420507039
18,-437.22,0.40467,1.027675049,0.745246422,0.00325761,0.511322005
19,-461.72,0.40524,1.223094009,0.887224727,0.004223799,0.613805022
20,-486.01,0.40583,1.440652255,1.045352914,0.005386236,0.7285228
21,-482.39,0.40645,1.681286532,1.220325576,0.006768499,0.856027322
22,-462.22,0.40704,1.917072802,1.391996425,0.008395191,0.996854563
23,-473.58,0.40764,2.131733989,1.548606247,0.010291905,1.128310308
24,-441.76,0.4082,2.356495161,1.712685412,0.012452195,1.246875831
25,-478.57,0.40879,2.549623411,1.854104693,0.01485098,1.379172362
26,-426.08,0.40936,2.777329918,2.020650578,0.017498967,1.480355381
27,-466.71,0.40991,2.954140391,2.150627096,0.020359121,1.62265506
28,-429.58,0.41049,3.1681215,2.307587219,0.023470234,1.706765347
29,-442.11,0.41103,3.346167796,2.438769293,0.026773256,1.845499759
30,-447.99,0.41161,3.534798204,2.577735591,0.030309989,1.932381778
31,-413.28,0.41213,3.727996961,2.720150305,0.034038564,2.049798268
32,-459.45,0.41269,3.888910772,2.839403403,0.037970384,2.158133558
33,-406.32,0.41324,4.091287394,2.988723421,0.042109992,2.244429539
34,-443.46,0.41376,4.244450177,3.102663482,0.046419741,2.373532822
35,-415.38,0.41432,4.429957157,3.240077912,0.050946444,2.44506222
36,-416.88,0.41483,4.589275186,3.358724347,0.0556331,2.567049128
37,-438.35,0.41539,4.749125833,3.477876885,0.060516103,2.646768175
38,-393.53,0.4159,4.927449331,3.610490941,0.065564855,2.744863361
39,-440.03,0.41642,5.065812005,3.714384231,0.070779363,2.850184329
40,-388.78,0.41696,5.244139647,3.847240281,0.076180194,2.920385177
41,-419.14,0.41745,5.37706317,3.947443848,0.081721009,3.037690846
42,-415.7,0.418,5.53505629,4.065848108,0.087447001,3.098659018
43,-383.48,0.41848,5.689268547,4.181639757,0.093305638,3.203686447
44,-434.24,0.419,5.815731823,4.277506755,0.099325086,3.287169715
45,-372.34,0.41952,5.985098108,4.404446036,0.105500501,3.357495875
46,-406.52,0.42,6.101292034,4.493113419,0.111799592,3.468010959
47,-417.94,0.42053,6.244831495,4.601608877,0.118270986,3.518840547
48,-364.77,0.42101,6.397543223,4.716831549,0.12485331,3.61696595
49,-425.1,0.42151,6.505877141,4.800118006,0.131577399,3.702598156
50,-373.72,0.42203,6.663645642,4.919176244,0.138453297,3.757855436
51,-381.22,0.42249,6.777612799,5.006718156,0.145429719,3.865819561
52,-426.43,0.42301,6.896961122,5.098223059,0.152562823,3.916349727
53,-356,0.4235,7.054011488,5.217035512,0.15980202,3.995531654
54,-409.61,0.42397,7.152519238,5.293684718,0.167153043,4.093051482
55,-393.4,0.4245,7.293580651,5.401126686,0.174658653,4.135770137
56,-363.13,0.42496,7.420307065,5.498315444,0.182251386,4.235958734
57,-423.39,0.42546,7.522405941,5.577805815,0.189979555,4.300421446
58,-356.89,0.42596,7.673700156,5.692887308,0.197826347,4.36020573
59,-391.73,0.42642,7.769853689,5.76825579,0.205763159,4.461646411
60,-409.54,0.42694,7.892884742,5.863093076,0.213845937,4.501177133
61,-353.15,0.4274,8.030278596,5.96838427,0.222011153,4.588548757
62,-417.84,0.42789,8.121910441,6.040722518,0.230289203,4.667358943
63,-363.91,0.4284,8.265388454,6.150555804,0.23869617,4.713003666
64,-375.7,0.42885,8.363964238,6.228061628,0.24717927,4.814459723
65,-419.58,0.42936,8.471202344,6.311882892,0.255797501,4.856271094
66,-348.32,0.42984,8.61450616,6.421815865,0.264499091,4.930295157
67,-408.47,0.43031,8.699739039,6.489910704,0.273293607,5.019823791
68,-376.88,0.43082,8.832283795,6.592219365,0.282222005,5.056114316
69,-361.94,0.43127,8.938171094,6.675365272,0.29121743,5.153033931
70,-421.58,0.43177,9.031969509,6.749846138,0.300333707,5.202961357
71,-349.8,0.43226,9.174304838,6.859431982,0.309539985,5.263048496
72,-396.51,0.43272,9.257893387,6.926689514,0.318822085,5.357986343
73,-393.38,0.43324,9.377624351,7.020092233,0.328235267,5.390972249
74,-355.17,0.43369,9.494179742,7.111277347,0.337711927,5.479267316
75,-418.06,0.43418,9.580178866,7.180469116,0.347293123,5.541718346
76,-352.57,0.43468,9.71674426,7.28622348,0.356974909,5.590530703
77,-389.22,0.43513,9.799729627,7.353374543,0.366721976,5.685871093
78,-397.46,0.43565,9.9108149,7.440861225,0.376591913,5.718488261
79,-351.71,0.4361,10.02815533,7.532932106,0.386523062,5.800259298
80,-415.83,0.43659,10.1089883,7.598711523,0.396547291,5.866374111
81,-352.61,0.43708,10.24102737,7.701510024,0.406671476,5.909754876
