simulation time [sec],battery current [A],battery soc [%],Socket,Crimp,Coolant,Overmold
0,0,0.1,0,0,0,0
1,9.4157,0.1,0,0,0,0
2,20.795,0.10001,9.30E-05,6.71E-05,0,0
3,48.559,0.10006,0.00054589,0.000394289,0,7.48E-05
4,77.462,0.10014,0.00301549,0.002178155,1.06E-07,0.000407965
5,106.56,0.10025,0.009291977,0.006713225,7.31E-07,0.002255963
6,135.7,0.1004,0.021152079,0.015285762,4.18E-06,0.006530546
7,164.46,0.10059,0.040355998,0.029171589,1.48E-05,0.014279179
8,193.29,0.10082,0.068517342,0.049542139,3.90E-05,0.026480027
9,221.85,0.10108,0.107355286,0.077646417,8.50E-05,0.044023696
10,250.13,0.10138,0.158435033,0.114623671,0.000163187,0.067923945
11,278.13,0.10171,0.223260404,0.161570109,0.000285548,0.099019747
12,305.86,0.10208,0.303278079,0.219541911,0.000465984,0.138175558
13,333.3,0.10248,0.399884785,0.289560367,0.000720038,0.18620016
14,360.48,0.10292,0.514409362,0.372598874,0.001064857,0.243886627
15,387.38,0.10339,0.648146794,0.469607457,0.00151913,0.311980988
16,413.2,0.10389,0.802325052,0.581488786,0.002103005,0.391222803
17,412.31,0.10442,0.977424908,0.708606929,0.002838041,0.482301303
18,412.92,0.10494,1.150901275,0.834698336,0.003747132,0.5853262
19,412.86,0.10546,1.324060165,0.960704221,0.004853646,0.682112922
20,414.32,0.10598,1.496323388,1.08620625,0.006155072,0.781396666
21,416.6,0.1065,1.669013472,1.212158189,0.007650377,0.879026329
22,421.91,0.10703,1.84284844,1.33907839,0.009337869,0.977816826
23,427.33,0.10757,2.020504681,1.468900034,0.011217374,1.077158062
24,435.19,0.10811,2.202121258,1.60172625,0.013289543,1.179462159
25,444.1,0.10866,2.389960891,1.739193862,0.015558088,1.283824186
26,453.86,0.10923,2.585099459,1.882084528,0.01802687,1.392449935
27,463.03,0.10981,2.788476069,2.031082028,0.020702326,1.505277763
28,471.7,0.1104,2.99967711,2.185894061,0.023592107,1.623093768
29,482.21,0.111,3.218345962,2.346269109,0.026704909,1.74523811
30,494.47,0.11161,3.44646085,2.513641422,0.030048931,1.8717073
31,504.18,0.11224,3.68601869,2.689460399,0.033631932,2.004100654
32,513.05,0.11288,3.934576151,2.871970608,0.03746391,2.143356292
33,524.36,0.11354,4.191382652,3.060636925,0.041557112,2.287117456
34,537.78,0.11421,4.459239634,3.257488633,0.045920954,2.435781309
35,553.79,0.11489,4.740736242,3.464404054,0.050563956,2.591441767
36,571.78,0.1156,5.039184299,3.683785544,0.055497813,2.755305663
37,590.91,0.11634,5.357408574,3.9176865,0.060737145,2.929537783
38,610.06,0.11709,5.697402571,4.167562366,0.066300317,3.11550855
39,628.02,0.11787,6.059853187,4.433926657,0.072208865,3.314256407
40,644.08,0.11868,6.443851381,4.716140911,0.078486536,3.52590974
41,655.75,0.1195,6.84739864,5.012779072,0.085157785,3.74969712
42,662.85,0.12033,7.264883822,5.319804499,0.092245942,3.984349847
43,667.81,0.12117,7.690150612,5.632782053,0.09977197,4.225899502
44,670.7,0.12201,8.120265243,5.949598488,0.107750339,4.471075847
45,668.63,0.12285,8.552339915,6.268171248,0.116188414,4.718904853
46,668.48,0.1237,8.979402514,6.58346587,0.125090174,4.967476709
47,668.64,0.12454,9.40417396,6.89744174,0.134456274,5.211985649
48,668.07,0.12538,9.82710001,7.210417581,0.144279386,5.456649658
49,667.62,0.12623,10.24716649,7.521658223,0.154555311,5.700044213
50,667.29,0.12707,10.66455601,7.831291888,0.16528038,5.941950942
51,666.91,0.12791,11.07944992,8.139446072,0.176449774,6.182606696
52,666.51,0.12875,11.49179068,8.446075922,0.1880589,6.422054641
53,666.15,0.12959,11.9015631,8.75116711,0.200103388,6.660227414
54,665.81,0.13043,12.30883588,9.054765922,0.212578817,6.897138483
55,665.48,0.13127,12.7136494,9.356898242,0.225480764,7.132834775
56,665.15,0.13211,13.11602985,9.65757975,0.238804901,7.36732628
57,664.84,0.13295,13.51598931,9.956815978,0.252546959,7.600627195
58,664.54,0.13378,13.91356768,10.25463258,0.266702715,7.832738629
59,664.25,0.13462,14.3087907,10.55104501,0.281267975,8.063689642
60,663.98,0.13546,14.70168396,10.84606867,0.296238603,8.293486115
61,663.71,0.1363,15.09228685,11.13972892,0.311610509,8.522143626
62,663.46,0.13713,15.48061067,11.43203094,0.327379644,8.749684785
63,663.22,0.13797,15.8666945,11.72299994,0.343542021,8.976106669
64,662.94,0.13881,16.2505633,12.012651,0.360093676,9.201439519
65,645.45,0.13964,16.63217238,12.30094892,0.377030707,9.425688228
66,650.65,0.14045,16.98792921,12.57085361,0.394349252,9.648812341
67,662.13,0.14128,17.34901899,12.84486231,0.412045411,9.851830773
68,661.17,0.14211,17.72415051,13.12926761,0.430088305,10.06785537
69,660.04,0.14295,18.09612224,13.41165848,0.44848281,10.28991433
70,661.26,0.14378,18.46471622,13.69187385,0.46724379,10.50710101
71,661.7,0.14461,18.83320433,13.97227265,0.486366389,10.72384887
72,661.09,0.14545,19.2005073,14.25207444,0.505845496,10.94091952
73,661.08,0.14628,19.56517457,14.53022976,0.525679761,11.15711962
74,661.06,0.14711,19.92805113,14.80734562,0.545866605,11.3717837
75,660.81,0.14795,20.28913184,15.08341587,0.566401802,11.58587117
76,660.65,0.14878,20.6481067,15.35821418,0.5872821,11.79897067
77,660.51,0.14961,21.00511078,15.63183538,0.608504258,12.01100408
78,660.37,0.15045,21.36018141,15.90430388,0.630064688,12.22211108
79,660.21,0.15128,21.71332808,16.17562398,0.651959971,12.43226064
80,660.05,0.15211,22.0645325,16.44577995,0.674186741,12.64147135
81,659.46,0.15294,22.4138042,16.71477614,0.696741654,12.84971859
82,659.64,0.15377,22.76055782,16.98218734,0.71962136,13.05701834
83,659.57,0.15461,23.10587083,17.24878864,0.742822527,13.26289049
84,659.37,0.15544,23.44940448,17.51433334,0.766341167,13.46840301
85,659.18,0.15627,23.79098768,17.77869554,0.790174537,13.67283028
86,659.03,0.1571,24.13064385,18.04188966,0.814319519,13.87633888
87,658.91,0.15793,24.46843772,18.30396001,0.838772808,14.07887549
88,658.79,0.15876,24.80441987,18.56494069,0.863531136,14.28051268
89,658.66,0.15959,25.13859916,18.82483578,0.888591322,14.48125855
90,658.52,0.16042,25.47097058,19.08363932,0.913950253,14.68111485
91,658.38,0.16125,25.80152918,19.34134543,0.939604838,14.88007491
92,658.24,0.16208,26.13028383,19.59795818,0.96555199,15.07813563
93,658.09,0.16291,26.45724336,19.85348166,0.991788627,15.27530356
94,657.95,0.16374,26.78240275,20.10790995,1.018311687,15.47158115
95,657.81,0.16457,27.10578463,20.36125712,1.04511813,15.66696145
96,657.67,0.1654,27.42739769,20.61352718,1.072204921,15.86146371
97,657.53,0.16623,27.74725059,20.86472417,1.099569059,16.05508496
98,657.4,0.16706,28.06535195,21.11485207,1.127207565,16.24783157
99,657.26,0.16789,28.38172414,21.36392483,1.155117481,16.43970596
100,657.13,0.16872,28.69636183,21.61193643,1.183295867,16.63072328
101,657,0.16954,29.00928729,21.85890078,1.21173982,16.82087104
102,656.86,0.17037,29.3205089,22.10482177,1.24044644,17.01017067
103,656.72,0.1712,29.63002122,22.34969335,1.269412864,17.19861807
104,656.6,0.17203,29.93783263,22.59351942,1.298636247,17.38620883
105,656.45,0.17286,30.24397898,22.83632378,1.328113748,17.57294981
106,656.33,0.17368,30.54842713,23.07808041,1.357842546,17.75886523
107,656.18,0.17451,30.85122669,23.31882303,1.387819869,17.94391643
108,656.06,0.17534,31.15234443,23.55852561,1.418042918,18.12815797
109,655.95,0.17617,31.45182987,23.79722183,1.44850896,18.31153836
110,655.87,0.17699,31.74970475,24.03492537,1.479215234,18.4941175
111,655.79,0.17782,32.0460182,24.27166972,1.510159045,18.67588592
112,655.66,0.17865,32.34077784,24.50745844,1.54133773,18.85688552
113,655.54,0.17947,32.63392251,24.74224543,1.572748696,19.03710312
114,655.51,0.1803,32.92547386,24.97604435,1.604389363,19.21649343
115,655.3,0.18113,33.21556339,25.20894821,1.636257091,19.39509139
116,655.15,0.18195,33.50395084,25.44078169,1.668349277,19.57298653
